id,error
219,2.230361
220,4.036249
221,1.832113
222,2.566532
223,3.165667
224,5.319265
225,3.562117
226,0.815793
227,4.710681
228,0.930949
229,2.266863
230,2.934730
231,4.013824
232,3.752615
233,1.237330
234,4.578158
235,5.229799
236,3.454835
237,4.945891
238,4.542608
239,2.146588
240,0.517847
241,3.787778
242,3.792978
243,0.448384
244,3.202503
245,2.611030
246,4.967869
247,3.547991
248,4.880062
249,3.792337
250,3.537762
251,1.605199
252,1.168455
253,4.097669
254,3.127367
255,3.384822
256,2.290125
257,4.970161
258,1.264930
259,2.717330
260,4.674233
261,3.725963
262,1.100776
263,2.817043
264,0.608856
265,4.335025
266,4.942162
267,5.229431
268,0.813235
269,1.734418
270,4.580260
271,5.274940
272,2.598329
273,5.117874
274,1.675222
275,5.188325
276,4.405363
277,3.881565
278,1.849922
279,1.379732
280,3.535987
281,1.610682
282,3.672545
283,3.295781
284,4.872906
285,5.511380
286,4.112870
287,3.428593
288,4.218203
289,0.493662
290,3.479083
291,4.299507
292,4.244123
293,2.057040
294,3.651810
295,2.229368
296,3.971662
297,0.635540
298,3.216122
299,5.588884
300,2.665524
301,0.535963
302,0.619836
303,5.174307
304,3.608570
305,5.061121
306,2.448247
307,2.374121
308,1.389348
309,5.251843
310,4.510095
311,1.822992
312,4.239193
313,2.322348
314,4.869960
315,2.215440
316,3.107443
317,1.471363
318,3.774895
319,5.452180
320,2.918085
321,0.886551
322,4.949084
323,0.628988
324,2.268949
325,3.478012
326,5.280472
327,2.732173
328,0.985162
329,4.233002
330,4.857885
331,0.735335
332,2.685288
333,1.706038
334,5.270441
335,3.380874
336,2.485005
337,3.826136
338,4.457142
339,3.192336
340,5.321635
341,2.768577
342,4.156058
343,4.745308
344,2.480114
345,5.260889
346,5.119872
347,2.091229
348,3.964837
349,3.816556
350,1.905706
351,3.465501
352,0.979989
353,1.810571
354,1.710731
355,2.444693
356,1.942218
357,4.573403
358,4.704081
359,3.811021
360,2.453071
361,1.069073
362,4.554536
363,2.001451
364,2.880740
365,3.894112
366,3.778887
367,2.108674
368,1.178293
369,1.543555
370,3.471930
371,3.612865
372,3.205581
373,5.507276
374,5.282800
375,3.145799
376,0.522122
377,2.821447
378,0.604331
