id,error
144,3.845008
145,2.476491
146,5.388802
147,0.931591
148,4.029188
149,2.218031
150,2.474250
151,4.123949
152,4.365545
153,5.579109
154,2.020215
155,4.681491
156,5.580990
157,3.731946
158,1.755167
159,3.812240
160,5.077561
161,5.043567
162,3.693990
163,3.786275
164,0.728556
165,0.481211
166,4.134903
167,4.356804
168,2.232025
169,2.335553
170,1.345955
171,4.379425
172,3.216685
173,2.478398
174,2.930942
175,3.398926
176,1.414419
177,4.240190
178,4.148628
179,1.949200
180,1.140691
181,3.649609
182,4.221926
183,2.735238
184,1.646131
185,1.743149
186,2.599860
187,1.218864
188,3.167081
189,5.404892
190,5.195504
191,0.639437
192,5.063178
193,4.861481
194,5.728943
195,1.838668
196,3.026583
197,4.009569
198,2.308520
199,5.239422
200,2.874247
201,2.226099
202,2.607410
203,1.535390
204,0.674488
205,4.225071
206,5.629779
207,2.597086
208,5.384284
209,2.388719
210,3.433631
211,5.792253
212,2.769947
213,2.726328
214,1.156933
215,1.917863
216,2.978931
217,4.969608
218,3.894853
219,2.252138
220,4.145148
221,1.841040
222,2.675431
223,3.302963
224,5.456561
225,3.693892
226,0.977160
227,4.634436
228,0.990243
229,2.260224
230,2.956507
231,3.611386
232,3.241272
233,1.475722
234,4.567849
235,5.289988
236,3.382851
237,4.939252
238,4.679904
239,2.137272
240,0.648051
241,3.836850
242,3.734142
243,0.609751
244,3.195864
245,2.790686
246,5.016941
247,3.538675
248,4.888989
249,3.788186
250,4.026728
251,1.257648
252,1.169196
253,4.048898
254,3.176439
255,3.450553
256,2.237649
257,4.895762
258,1.219202
259,2.878697
260,4.664917
261,3.719324
262,1.339168
263,2.925942
264,0.617783
265,4.343952
266,5.051061
267,5.354975
268,0.933859
269,1.793712
270,4.504015
271,5.446448
272,2.777058
273,5.041629
274,1.913614
275,5.197252
276,4.414290
277,4.147742
278,1.958821
279,1.817885
280,3.656611
281,1.849074
282,3.663229
283,3.223797
284,4.932200
285,5.532154
286,4.133644
287,3.324703
288,4.165727
289,0.630958
290,3.609287
291,4.537899
292,4.234807
293,2.050401
294,3.890202
295,2.220052
296,3.867772
297,0.626224
298,3.180975
299,5.543156
300,2.674451
301,0.483487
302,0.450294
303,5.353963
304,3.780078
305,5.061862
306,2.580022
307,2.459537
308,1.526644
309,5.490235
310,4.595511
311,1.841282
312,4.260970
313,2.371420
314,5.007256
315,2.236214
316,3.237647
317,1.399379
318,3.798843
319,5.442864
320,2.938859
321,0.877635
322,4.939768
323,0.576512
324,2.400724
325,3.586911
326,5.334456
327,2.725534
328,0.913178
329,4.241929
330,5.124062
331,0.682859
332,2.706062
333,1.701887
334,5.355857
335,3.518170
336,2.315463
337,3.806768
338,4.618509
339,3.371065
340,5.342409
341,2.599035
342,3.753620
343,4.753265
344,2.529186
345,5.309961
346,5.228771
347,2.112003
348,3.973764
349,3.953852
350,2.277359
351,3.456185
352,1.007390
353,1.880013
354,1.716555
355,2.445434
356,2.208395
357,4.734770
358,4.789497
359,3.734776
360,2.624579
361,1.240581
362,4.502321
363,2.131655
364,2.711198
365,3.925046
366,3.785219
367,2.126964
368,1.199067
369,1.536916
370,3.738107
371,3.750161
372,3.279464
373,5.581159
374,5.278649
375,3.136483
376,0.693630
377,3.001103
378,0.765698
379,1.628583
380,4.075773
381,3.035114
382,1.529463
383,3.886038
384,1.633654
385,2.788240
386,4.983294
387,2.937437
388,4.369244
389,2.240562
390,3.297156
391,5.280954
392,5.079997
393,3.672568
394,5.223695
395,5.041013
396,0.938289
397,5.119256
398,2.936349
399,2.474852
400,3.400070
401,4.302932
402,1.770430
403,2.411401
404,1.799083
405,3.174793
406,4.718889
407,4.103329
408,3.308073
409,0.883481
410,2.188700
411,3.173867
412,3.071124
413,0.771438
414,1.954969
415,4.555328
416,5.310491
417,1.792648
418,2.664406
419,3.413279
420,3.513548
421,5.292089
422,1.624835
423,2.716199
424,3.567894
425,2.701445
426,3.426065
427,2.810650
428,3.382628
429,5.325810
430,5.368335
431,1.398724
432,1.984131
433,5.038764
434,4.726157
435,1.021220
436,2.676654
437,0.403239
438,4.653774
439,5.145145
440,4.646654
441,0.820037
442,5.261508
443,3.237139
444,3.575224
445,2.911511
446,1.570283
447,4.873620
448,1.550707
449,5.202957
450,3.552449
